,customer_id,user_name,ratings,review_head,review_body
41,review-ffb5e148-302e-48fa-b91b-39917bd57e3c,mohibul islam,1,Stopped working,stopped working 4 weeks purchase
42,review-200a5f74-9dbf-490e-b239-48cc6acdfef4,Supratik Kar,5,Fabulous!,top productgood quality
43,review-ee438053-64e4-46fc-bc16-bd45e3ffb930,Surya Mohanty,5,BANG BANG,amazing product philips small bomb like looks make good sound quality impressive bass crystal crisp sound
44,review-41960308-9714-4165-99c3-cbfd9716d10f,Flipkart Customer,2,Not good,nota quality products philips company say charging play 6hrs 23hrs stopedit also poor sound quality compair prisei suggest buyers got branded company jbl ball etci give two star connect good
45,review-d34ceff3-6a40-44b0-ba1a-cf40d314a009,sarika,5,Simply awesome,good pricesound goodportableonly negative thing doesnt sound buttons otherwise totally worthy producti bought bluetooth 2017 still working good
46,review-f773bfc5-2610-42f3-baa8-1af52346c4c3,Jintu mani Deka,4,Really Nice,good product
47,review-ec00b684-5f6c-4d35-b16a-33440b19473a,jasmin nimbark nimbark,4,Pretty good,laptop connect izzzy fit overall performance good
48,review-89466073-1c5e-4ca7-af8b-059d617d05a0,Aravind,1,Horrible,buy product available audio cable include package pc connected charging purpose need connect pc speaker additionally buying audio cable listening audiofor moblie connect mp3 sound effect good video sound effect normal
49,review-872743ec-9253-4922-8a3a-5726be3d88fe,Sagar Bhadouria,4,Wonderful,reviewing product 18 months use speaker totally working fine till got deal rs 1249 speaker built quality definitely good sound base quality average according mi speakers better much louder cheaper thisthe sound speaker louder youll play using aux cable comparison bluetooththe battery backup philips speaker also average lasts around 23 hrs full read
50,review-ae197b34-557b-4570-bee8-eaef638830e3,Jeel Patel,5,Must buy!,nice product using 2 year change voice oosssmm bass
51,review-ed89a1b1-0de2-4a75-88e9-1312215b4e38,Rohit Gond,5,Mind-blowing purchase,buy amazing product
52,review-17ba2b0d-1c35-4f65-944f-93162317a2b2,Sandeep kumar Vanaparthy,1,Terrible product,sound disturbance abrupting songs
53,review-fa82d176-3a4c-4fd5-a44f-d1c676805fa5,Flipkart Customer,1,Very poor,didnt buy friend gifted cant find speaker thats worse sound quality go looks build quality good doesnt break rubber kind material sound ridiculous cheaper though worth 1k bass sound doesnt feel right seems like listening song different singer bluetooth connectivity great please consider going jbl go cost around 2400 better read
54,review-25059eb7-5965-43c7-a556-3541df2fbdee,Sanjay Kumar,5,Fabulous!,good
55,review-4e06602f-f3f6-4ea3-b385-5aafaa4f6b5a,Ashu Paul,5,Highly recommended,good looking wise light weight single room perfect big room take look big one satisfied 100
56,review-3df00671-4e9e-46a0-a7fe-8ab11785a826,Bebin Mathew,5,Wonderful,philips kept quality
57,review-b9881092-199b-404c-8dd4-accc8a2a448e,Anamika gupta,5,Fabulous!,good things come small packages
58,review-b080e22e-acb3-4529-bbbc-7da5a8385006,Nayankumar Padhiar,5,Excellent Performance.,good quality philips brand require review goes wo saying fulfill requirement limit comply 100 satisfaction overall price band performance boost unbelievable great combinationkeep congratulations flipkart philips timeregds thanks
59,review-b6fc19d5-14c1-455b-b789-f19575209291,Flipkart Customer,1,Terrible product,gud
60,review-249bdba3-2d81-4119-b519-2832ef3a3ad2,Mukul Chauhan,3,Does the job,really speaker good sound also good clear
61,review-c420e26f-6fd8-4bfe-9aae-2e3bcb71bb49,Taral Patil,5,Awesome,tiny speaker easily fit shorts pocket size doesnt matter good sound output clarity good value money product rubberised finishing gives rotal look happy deal
62,review-34f1f3d5-5e76-4da9-a9d3-29157ff34f14,Ritesh Sharma,4,Value-for-money,nice sound bass
63,review-fae0967a-3920-4482-9877-0292f6116e93,Sahil Uppal,5,Awesome,philips naam hi kaafi hai pawesome good things come small size device proves like call mini granade simply amazingdont set high expectations neither home theater speaker amplifier normal small bluetooth speaker suitable watching movie laptop 10x10 room surround sound ment dont nice laptop speakers dont like using headphones allinall whread
64,review-19f14699-4812-4ce3-aa31-7f8d6617ec95,Nitin Negi,4,Delightful,good
65,review-286557a4-8253-4a15-8a02-24253c3cb81e,Runit Jain,5,Must buy!,great sound quality
66,review-c2f65f42-0ff5-44fd-bc74-062a7432f963,sanchit pasricha,5,Excellent,good product must buy clear sound best graphics best volume thnks flipkart
