,one_plus_7t.csv,customer_id,user_name,ratings,review_head,review_body
1712,1712,review-b5a11424-a670-416e-8e6d-d142c7dd6815,Zahoor Ganie,5,Brilliant,beast fabulous stunning almost every aspectvideo recording problem must solved software update
1713,1713,review-b8d26dda-d504-4117-abfa-38e370bbd22c,Flipkart Customer,5,Just wow!,good phone
1714,1714,review-95c49fcb-eec7-498b-8e46-f6e346f9f641,Trishandwip Ghorai,4,Worth the money,good product rate flipkart service also good fast totally satisfied phonethank
1715,1715,review-4232de00-24ae-4139-bb69-1836bf0d9998,Kewal Pamdita,5,Best in the market!,camera greatgaming performance exceptionalbattery backup less expectednetwork exception oksound also somewhat okbut price point give
1716,1716,review-3180d9cb-6afc-4c44-9dce-6129c92bbe1c,Pralhad Deshpande,5,Wonderful,best best best smartphone ever
1717,1717,review-7545682e-ebb2-4f96-911e-a052f5645942,Kishorbhai Khunt,5,Wonderful,fabulous performance camera display battery short powerfull pakage
1718,1718,review-13a38f1d-0ef3-42a4-bca5-c56369f57bba,Debabrata Mandal,5,Brilliant,awesome phone bought exchange redmi note 4 old user redmi phones trust phone awesome go itpros 1 super fast charging2 awesome camera specially night mode3 great display4 ultra smooth touch5 well balanced body colorspecially blue one6 good speakers7 perfect size
1719,1719,review-02dada88-d6df-423c-92a7-22c7d3422ffd,Nayan Nitin Satpute,4,Nice product,heating issue nd camera lagg problem big assumeoverall handset nice looking great
1720,1720,review-6b402e5e-c67c-452b-8577-68fcca081eed,SUVOBRATA DAS,5,Perfect product!,great
1721,1721,review-9fbb63d8-b28f-453d-9f6c-92ee0ae2fedf,vikas prajapati,5,Perfect product!,camera clear 48 mp look like
1722,1722,review-8acac2a3-6a4e-42b1-94fc-25c9a219d85b,Ramesh Kaldhone,3,Decent product,would given 5 star give fast charging charger along phone takes 2 hours full charge
1723,1723,review-9a8fa0f6-e473-437a-b8c4-186fe7691986,sagar nayak,5,Mind-blowing purchase,download google camera best uses
1724,1724,review-0eef3424-aacf-462f-9ca2-f9ff314048d1,Suraj Kumar singh Singh,5,Wonderful,cemera osm bt battery backup bad mi note 5 pro
1725,1725,review-60e06443-d036-4718-a377-3dd958dbb938,Flipkart Customer,2,Could be way better,bought phone 7th june 11th june facing charging problemi able charge phone change charging socket 56 times charge slowly take around 56 hrs chargei even getting option replacing phone raised concern flipkart team 12th june steps taken till everyday calling response till date
1726,1726,review-4a97a507-a45e-49ea-91de-dccb760ff42e,SOHAIL M.A.,5,Worth every penny,phone superbyou cant get type phone pricerangecamera55battery55display55games55pubg55design buildquality55speed55heating issue alljust slight warm summer seasonthis 1st redmi mobilemiui litabout addsnothing worrytrust menetworkissuesonly idea4gjio internetspeedno need worryi bought nebula redlooks stunningear phone volume problem like reviewes said read
1727,1727,review-d0c3b8d6-3a01-4699-8860-9add0fb9414e,Arpita,4,Really Nice,everything aspect phone good except charging slow charger gets heated much well phone charging
1728,1728,review-55d3dfd8-bd4e-456c-827f-04eab02f3b29,Mohammed Faseen BK,5,Perfect product!,okay medium
1729,1729,review-c74f45ed-365a-4504-97b2-a3e5967f720a,Navinraj Venkatesan,5,Excellent,anyone looking budget phone features redmi note 7 pro best choice regret decision
