,customer_id,user_name,ratings,review_head,review_body
37,review-64579674-7a03-4bfd-b755-59c164893932,Ram,4,Good One for medium use,sandisk cruzer blade 16 gb pen drive good one medium usage buy combo offers also good
38,review-b000f3be-c22f-47d7-bb5e-641c865133f2,Shreeraj Kamath,4,A REALLY GOOD BUY!!!,urgent need pen driveso ordered one via flipkart always service really fast received within couple days suggest every1 buy flipkartabout product data transfer bit slow price really cool transfer around 15 gb time big benifitso think doesnt mattercompared brands price really lowi bought rs477 increased maread
39,review-b44f567c-9092-44ca-a7ea-e90c3b3688dc,Mitesh Kumar nehra,5,Classy product,pen drive nice store data computer
40,review-9e112a68-8d45-4369-8015-5e0052400a88,ADITYA KUMAR,1,Worthless,slow copy speed
41,review-000610ef-b29d-4558-9c9f-151db89bbf21,kandela sathish,1,Worthless,1 week 16gb pendrv become 253mb happens
42,review-cd63b038-f6c2-45d6-aa75-37d43c3f7307,Pankaj Chaurasiya,2,Not good,data transfer rate slow
43,review-aa29509d-4645-4acd-aa74-47ec7bcd7ca1,venugopala rao p,5,good product,happy product working fine also password locking system protect data complete plastic light weight also smaller size
44,review-e3d81b43-a0cf-416f-8d25-056ec75e4665,Indu Sharma,4,Nice Product,overall good productprosquite handy sleek stylishspecially liked sandisk software lock data password protectiondata transfer ratespeed good conisdering usb 20 drive compare 30 pendrivesconsstylish sturdy use care especially hand kids
45,review-102e6911-3e6a-4727-96d3-31d663b930b6,Varshanth Rao,2,THE MOST ACCURATE REVIEW FOR THIS PRODUCT,pros budget pendrive proper effective space 149gbnow punch stomachcons1 effective speed usb 20 port 4050 mbps completely disgusting2 inserting ejecting pendrive approx 15 times pendrive wont get detecting easily computers due wear tear im pendrive since 8 months computers even using extension cable pendrive doesnt detect easilysolread
46,review-ae6045bb-aa04-46ee-a6bb-b531ca3737dc,Nithin km,4,Pretty good,good product
47,review-54b4eb62-385e-4dda-9c4d-a2fb4f6e64c2,Md Afzal,2,Moderate,bad product
48,review-0f0f55fd-2e3e-4d21-8380-df1f14e31fee,VENU....... r,5,Excellent,good
49,review-e168d15b-b905-4efa-8436-376b67b6ff86,Rahim Basumatary,5,Terrific,nice ok
50,review-607071c2-357f-4320-badf-b6e5f6326723,Partha Pal,3,Good,good product speed slow want light data carry purchase
51,review-45ba3cde-dd54-484f-bea7-a8b3bf1354a1,Flipkart Customer,3,Nice,packing good
52,review-9cfdf35d-0ebc-400d-8328-34dd1ed80317,Flipkart Customer,1,Waste of money!,pendrive save 2gb totally hang
53,review-b6062b80-82f5-4d6e-83bc-2d345964f9ac,Ranbir Singh,3,Really Nice,bought 16 gb pendrive rs 239 flipkart sale didnt like built quality seems like sensitive got 145 gb space didnt like know pendrives never accurate space 15 gb cut lot space
54,review-e5976aa0-a839-4d04-af96-74ad5ebc0f77,Baban Haloi,1,Worst experience ever!,bad productafter two monththe pendrive workingwaste money
55,review-aad276c7-68aa-465c-939d-954f36cc6f3f,Flipkart Customer,5,Great product,super
56,review-6a0c35f2-5773-40bb-8f6d-97d786c7e61b,Sini Rejoice,5,Terrific,nice good working
57,review-14543322-9327-4601-a48b-a3545caef9a4,Flipkart Customer,5,Just wow!,best
58,review-38110841-bf99-40d7-9a48-fa2cbb5d97c7,Azhar Shaikh,5,Highly recommended,gud
59,review-6fdb91c0-c4d7-4699-99de-4a11cbb5d863,Flipkart Customer,5,Classy product,nice product
60,review-39ac276d-1f8e-4b8c-b04b-1226182edf43,Flipkart Customer,5,Terrific purchase,super
61,review-1eb10ca9-21d6-405b-ab9a-f3730f2b3ff8,Flipkart Customer,5,Best in the market!,good
62,review-ec511a0d-871c-4e2a-a254-5e1095e01fe6,Flipkart Customer,5,behtarin,durable
63,review-cd203fe3-6382-461a-8e6b-5a90ee478f70,Arun V Thomas,4,Worth the money,good productfast delivery
64,review-88503412-ecb7-4cde-bb90-912ebbab06b4,Flipkart Customer,5,Awesome,fast service less rate good product
65,review-c3f6a932-01e7-4618-8f86-71ddcc8e63fa,Virendra Verma,5,Fabulous!,sandisk pandrive nice
66,review-1df200af-5815-43c4-a122-081297eb7ae4,Flipkart Customer,5,Simply awesome,standingbot size small goodits ok
67,review-254f9784-247d-405f-9294-07d6408dcf28,Flipkart Customer,5,Mind-blowing purchase,worth every penny
68,review-f8012706-e149-41bd-a5e6-4bde3ae2f018,Sunil Guala,4,Good quality product,worth money
69,review-99fc7d0f-c259-4c24-940e-5c3b8c4ebcd1,Anil Kumar,1,Unsatisfactory,bad purchase didnt work car music system really appreciate flipkart instant refund process
70,review-78f9dca4-37e0-439f-b271-c321b29ee3fc,Mobin Ghanchi,4,Really Nice,transfering speed little slow got 279 considering price product good
71,review-a9c415ed-fa7e-4096-8ec1-0a1e2bac2a1f,Ajit Birajdar,5,Classy product,nice
72,review-f0db3707-c57f-4db3-bb39-5c98a8e56d76,Subhadip,5,cheepest BEST,use hp bt warrenty product goneafter using feel relefone bad thing 20 portspeed lessok normal usethank
73,review-fc36043f-f3ba-4e32-bac6-7f8403cca5c6,Gopi Mandal,4,Good choice,best price
74,review-ddb2e3ce-302d-4ab7-8deb-251fbd248662,Abhishek Katiyar,5,Awesome,good pendrive speed decentalmost 13mbps mobile otg
75,review-88b03378-e545-4e97-887a-0111a1b74571,Shiv Kisku,1,Terrible product,poordata transfer rate slowbut delivery good behaviour delivery boy vey nice
76,review-89229f10-a335-48f6-bea7-eaf933e9afa7,Flipkart Customer,5,Simply awesome,somewhat good
77,review-2ec57ebe-46c5-497a-929a-bf54953db331,Flipkart Customer,1,Hated it!,bad
78,review-3b3b3c39-a522-45bd-9581-1a1493d8a28d,kagithala yugendar,5,Terrific,good
79,review-a7ff0e3e-63b7-4c56-bd25-d808902cb894,Flipkart Customer,5,Perfect product!,nice product
80,review-38deae22-accb-469c-aefd-dd25f6081e06,Immanual Jose,4,Good quality product,good productbought 2 years ago still problemsfully satisfied
81,review-e15686df-774d-48f8-be97-4f6c0ca989d2,Shaik Mustafa,3,Better,better
82,review-8629254d-a714-4d79-bbeb-f37cdff62ae0,Venkatesan S,5,Mind-blowing purchase,nice one
83,review-e2058cf2-5a7d-49c7-8ca2-7a9126c97008,Kumaru K S,4,Very Good,good product 3x3 4x4 cubes bit small
84,review-3eae13ab-b5d5-4c99-a408-d4404c5d2e90,sanjib das,5,Super!,good
85,review-73a7c409-75c7-4824-ae00-8aa5cb2ecd1f,Pramod Bhausaheb Divekar,4,Delightful,good
86,review-0c50744b-3f7c-4903-890e-0941d0acbb26,AKASH NISHAD,4,Worth the money,satisfy
87,review-fbbcbacc-6d0e-415d-b360-ebc7dfd2a5cf,MANIK SINGLA,4,Wonderful,always good
88,review-155306b8-8bb9-4dd9-a661-cbef98fdd467,Tapas Ghosh,3,Does the job,nice quality
89,review-03b6ac3c-4c0c-423e-a659-a5d86d3e0e60,Sowdeswari S,4,Value-for-money,useful
90,review-50412ae4-fe55-451d-9130-f332c0503ed7,Vijaya Naidu,5,Brilliant,really luv diz productthnx flipkartafter day ordered stationary simply aaked pendrive 8gb told 490rupeesi rhoufht lucky coz took 16gb 490rs
91,review-69cea61f-6f63-4ad4-8fe7-4be6bd38e38c,Flipkart Customer,5,Mind-blowing purchase,good product
92,review-8340ecc5-d84b-4769-8594-efc874da06d1,Buddhi prakash,5,Good,good
93,review-9fcff5cd-a474-421d-b2da-a5e4ad431a31,Flipkart Customer,5,good quality,nice
94,review-3958c941-2e02-4252-a416-ebb33f6b5d20,R Ramesh kumar,4,Wonderful,good
95,review-d370cb40-488f-46f2-aab4-38ea4908d7ac,Aditu,4,Nice work,products fine good
96,review-58d86c3f-1058-4b68-8439-47d714a32825,Sumit Dhara,5,Terrific,good product works well speed 10 mbsecond fastest delivery flipkart 2 days
97,review-055bcec9-d228-4bf7-bab0-cf3afc2036be,Sumanta Banerjee,3,Decent product,transfer speed low taking approx 7min transfer 1gb file pc pendrive
98,review-6846bb24-5854-48d2-a73a-a70e28973ced,Adarsh Prashant,5,Excellent,giving review products fools job go blindly compare price market
99,review-b340a30b-4632-465b-9439-06e571f714ad,Md. Bakibillah,5,Wonderful,good product
100,review-82516b1a-0ab9-4173-9ec5-4f877ec8480e,Giri Ravi,3,Does the job,good considering price point major con pendrive made cheap plastic fragile
101,review-305fba3e-34d9-4174-87c8-f8dcf7acb1f1,SUBASH KANNAN,4,Four Stars,getting heat even normal room temperature
102,review-60ea7117-1759-46a4-800f-209093238c2a,Abhinandan Ghosh,5,Terrific,good
103,review-c9175987-bb12-41ae-82ae-a0115281f50a,VijayaKumar L,3,Decent product,good product
104,review-9ccbeeca-df7e-4e38-8396-7ac323d94ce9,Mahavir Lal Choudhary,5,Worth every penny,excellent
105,review-a1f33ec9-6660-4a4d-9812-1baa8cf79f26,Shrish kashyap007,4,Delightful,sometime working slow 4 gb upload takes 2 3 hr
106,review-c1d43422-4b4a-460a-92c8-c07e4924d6c6,Hussain Khan,4,Good quality product,good one
107,review-0b181d1d-a507-4bf6-84dc-45bb9c68b117,Flipkart Customer,5,Excellent,nice
108,review-2eadbed6-bccc-4be1-bcbe-7f96d89a5108,Flipkart Customer,4,Good choice,really goodtiny easy useu cn take anywhreonly one negatv point since plastic coated u nid handl abit carefullyor u may break
109,review-3c33c46a-2d62-487f-82f9-14776034ba06,Flipkart Customer,5,Highly recommended,nice
110,review-11dc5357-d1cc-4c45-9481-a16bfeb7e8da,Bonzo Barman,3,not bad pendrive,bought product 3 years still working well transfer speed decreases
111,review-4cada1a1-2e36-4c28-80c9-872b9e024c0e,Flipkart Customer,5,Terrific,good
112,review-3e147427-18cb-4446-b6f1-b118fc5807a2,Subhendu panda,4,Worth the money,good
113,review-9b590a7e-c04c-446c-a137-07240badaa9c,Irfan Junaid,5,Average quality,performance good plastic tends get cracks eventually breaks longtime use
114,review-43783fe0-67d3-4be9-806f-41b38c5d84be,Flipkart Customer,3,Fair,satisfactory
115,review-d7c56212-3ac5-423e-9393-3d29fa52c096,Jones J,5,Best in the market!,better always
116,review-b54d3444-dbb4-4738-ac4b-d28255468df2,Flipkart Customer,5,Perfect product!,nic one
117,review-a22bd960-4f58-44a6-afc5-5d2a2369726b,Tirtha Saha,5,Great product,nice
118,review-9936bbc6-f1d6-4ef3-bc0a-8afe037a2351,Sasi Bhusan,4,Good product,nice
119,review-e3f36dbe-ca44-4ab9-ac2a-0119980a7967,Flipkart Customer,5,Must buy!,good product
120,review-82ccc215-5bd3-4626-9661-007a2c090cde,jagannath pradhan,4,so nyc,good product
121,review-a671430f-2c0e-458b-8e12-444a61c8e717,Chandan Gaba,4,Worth the money,quite good life sandisk pendrive go u r happy speed usb 20 offers nice product u want speed much higher go usb 30
122,review-909a1dfb-dd2b-4c71-8762-b82c3562e6e2,Sathyanarayanan Perumal,4,Value-for-money,good product reasonable price retail sellers
123,review-05d323de-f29c-4619-b9f9-40dd83ac995f,venkatesh kasarabada,3,Nice,good
124,review-d736fe98-da7b-469c-ad1d-d7f9a447a8d4,Flipkart Customer,4,Good quality product,awesome
125,review-53fbdf2b-cfb1-465e-97fd-61eac714882e,Flipkart Customer,5,Best in the market!,good
126,review-194b92f8-ccf6-4513-8bc3-0cc302bfc529,Shivam Rai,5,Fabulous!,good
